[2022-05-09T22:46:11.821] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.825] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.829] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.833] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.838] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.842] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.845] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.855] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.859] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.863] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.866] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.871] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.875] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.877] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.879] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.882] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.887] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.893] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.895] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.898] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.902] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.904] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.908] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.910] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.912] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.915] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.918] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.922] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.925] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.927] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.929] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.932] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.938] [INFO] infoFile - { route: '/info', method: '[GET]' }
